commit ID,author name,committer name,message,URL,commit date
MDY6Q29tbWl0NDE2NDQ4Mjo1MzU4MDllMTIxNjFkMjhkYWNhZjUxNjE0MzZmYzA1YTliYjA2NGFh,Moritz Sichert,Tim Graham,Fixed #25294 -- Allowed custom BoundFields on forms.,https://api.github.com/repos/django/django/git/commits/535809e12161d28dacaf5161436fc05a9bb064aa,2015-08-10
MDY6Q29tbWl0NDE2NDQ4Mjo5N2FjNzdlNTQ0ZjliMWQxZjI4YzBmODU5YmVmOGZiYzE5NWQ4MWE1,Tim Graham,Tim Graham,"Removed BaseForm._raw_value().

Unused since efb0100ee67931329f17bc9988ecd5f0619cea14.",https://api.github.com/repos/django/django/git/commits/97ac77e544f9b1d1f28c0f859bef8fbc195d81a5,2015-08-21
MDY6Q29tbWl0NDE2NDQ4MjpjNmMwMGZiZmJiNjU5ZGU0YmVhYWQzYzYxMmMyNzFhYzc0Zjg5MmE3,Curtis Maloney,Tim Graham,Used @cached_property for BaseForm.changed_data.,https://api.github.com/repos/django/django/git/commits/c6c00fbfbb659de4beaad3c612c271ac74f892a7,2015-08-04
MDY6Q29tbWl0NDE2NDQ4MjoxZWY0YWVhYjQwM2Y3ZmI3NGMwYjliMTFmZGU4NTRmZDAzYWZjNDBj,Claude Paroz,Claude Paroz,"Fixed #25078 -- Added support for disabled form fields

Thanks Keryn Knight and Tim Graham for the reviews.",https://api.github.com/repos/django/django/git/commits/1ef4aeab403f7fb74c0b9b11fde854fd03afc40c,2015-07-07
MDY6Q29tbWl0NDE2NDQ4MjoxODg0YmY4ZThlOWZiM2Y5ZjQ0YTllYzIxNmFjYTk2ZjYzOTc0MjY4,Markus Amalthea Magnuson,Tim Graham,Fixed #12437 -- Added css_classes to Form._html_output(),https://api.github.com/repos/django/django/git/commits/1884bf8e8e9fb3f9f44a9ec216aca96f63974268,2015-06-05
MDY6Q29tbWl0NDE2NDQ4Mjo1OTg3YjNjNDZkNWE2OTQ4NzM3NjI3ZDI5NGQ5NWVkNTRkNDllYWU2,Alasdair Nicol,Tim Graham,Removed comment from Form.changed_data; refs #24191,https://api.github.com/repos/django/django/git/commits/5987b3c46d5a6948737627d294d95ed54d49eae6,2015-06-04
MDY6Q29tbWl0NDE2NDQ4Mjo0ZGY3ZTg0ODNiMjY3OWZjMWNiYTM0MTBmMDg5NjBiYWM2ZjUxMTE1,Paweł Marczewski,Tim Graham,Fixed #24788 -- Allowed Forms to specify a prefix at the class level.,https://api.github.com/repos/django/django/git/commits/4df7e8483b2679fc1cba3410f08960bac6f51115,2015-05-24
MDY6Q29tbWl0NDE2NDQ4Mjo0ZGNjNjQ5MzQxOGM3OGRiMDc3NjExODBiZjYyNjVmNWIyYmJjY2Jm,wdmgsm,Tim Graham,Fixed #24497 -- Added Widget.supports_microseconds attribute,https://api.github.com/repos/django/django/git/commits/4dcc6493418c78db07761180bf6265f5b2bbccbf,2015-04-08
MDY6Q29tbWl0NDE2NDQ4MjoxZjJhYmY3ODRhOWZlNTUwOTU5ZGUyNDJkOTE5NjNiMmFkNmY3ZTlj,Moritz Sichert,Tim Graham,Fixed #24469 -- Refined escaping of Django's form elements in non-Django templates.,https://api.github.com/repos/django/django/git/commits/1f2abf784a9fe550959de242d91963b2ad6f7e9c,2015-03-18
MDY6Q29tbWl0NDE2NDQ4Mjo2YmZmMzQzOTg5NGFjMjJkODBmMjcwZjM2NTEzZmM4NjU4NjI3M2Yz,Moritz Sichert,Tim Graham,"Refs #24469 -- Fixed escaping of forms, fields, and media in non-Django templates.",https://api.github.com/repos/django/django/git/commits/6bff3439894ac22d80f270f36513fc86586273f3,2015-03-10
